#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1         -0.992884         -0.992884                 0
                 2          -0.98941         -0.991147         0.0012281
                 3          -1.01756         -0.999951        0.00723448
                 4         -0.986119         -0.996493        0.00619738
                 5          -1.01528          -1.00025        0.00598938
                 6          -0.99753         -0.999796        0.00500828
                 7          -1.00804          -1.00097        0.00442916
                 8          -1.01829          -1.00314        0.00437254
                 9         -0.973887         -0.999889        0.00494938
                10         -0.998387         -0.999738        0.00445672
                11          -1.00736          -1.00043        0.00410509
                12          -1.01451           -1.0016        0.00392702
                13         -0.998173          -1.00134        0.00363381
                14         -0.992042          -1.00068        0.00343441
                15           -1.0164          -1.00172        0.00336169
                16          -0.96888         -0.999672        0.00372601
                17          -1.01703          -1.00069        0.00364404
                18         -0.964396         -0.998677        0.00396042
                19         -0.992944         -0.998375        0.00376346
                20          -1.01039         -0.998976        0.00362293
                21          -1.01291         -0.999639        0.00351061
                22          -1.00128         -0.999714        0.00335183
                23         -0.983318         -0.999001        0.00328102
                24          -1.01169         -0.999529        0.00318662
                25          -1.00022         -0.999557        0.00305928
                26          -1.01128          -1.00001        0.00297466
                27          -1.00157          -1.00007        0.00286506
                28          -1.01715          -1.00068        0.00282698
                29          -0.96933         -0.999595        0.00292887
                30          -1.01082          -0.99997        0.00285505
                31          -1.01895          -1.00058        0.00282781
                32          -1.01419          -1.00101        0.00277122
                33         -0.985185          -1.00053        0.00272841
                34          -1.00666          -1.00071        0.00265411
                35          -1.01805           -1.0012         0.0026241
                36         -0.983433          -1.00071        0.00259722
                37         -0.994574          -1.00054        0.00253232
                38         -0.983847           -1.0001        0.00250351
                39          -1.01352          -1.00045        0.00246283
                40          -1.01549          -1.00082        0.00242978
                41          -1.01794          -1.00124        0.00240613
                42          -1.01837          -1.00165        0.00238316
                43          -1.01772          -1.00202        0.00235686
                44         -0.997949          -1.00193        0.00230511
                45          -1.00623          -1.00203        0.00225586
                46         -0.997887          -1.00194        0.00220861
                47          -1.00712          -1.00205        0.00216437
                48          -1.00056          -1.00202        0.00211951
                49         -0.998019          -1.00193        0.00207782
                50          -1.01715          -1.00224        0.00205844
                51          -1.00734          -1.00234        0.00202051
                52          -1.01607           -1.0026        0.00199883
                53         -0.994394          -1.00245        0.00196711
                54          -1.01727          -1.00272        0.00194975
                55          -1.01569          -1.00296         0.0019285
                56          -1.01731          -1.00321        0.00191102
                57          -1.01377           -1.0034        0.00188644
                58         -0.988328          -1.00314        0.00187172
                59          -1.00096           -1.0031        0.00184036
                60          -1.00835          -1.00319        0.00181176
                61          -1.00722          -1.00326        0.00178326
                62            -1.009          -1.00335        0.00175691
                63          -1.00828          -1.00343        0.00173076
                64          -1.00974          -1.00353        0.00170653
                65         -0.994391          -1.00338        0.00168605
                66          -1.00728          -1.00344        0.00166153
                67          -1.00325          -1.00344        0.00163674
                68           -1.0096          -1.00353        0.00161517
                69         -0.951487          -1.00278        0.00175908
