#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                 1            0.9042            0.9042                 0
                 2           0.89852           0.90136        0.00200818
                 3           0.99788          0.933533         0.0263035
                 4           0.68196           0.87064         0.0579298
                 5           0.99188          0.894888         0.0511676
                 6           0.86448           0.88982         0.0428899
                 7           0.96608          0.900714         0.0381213
                 8           0.99852           0.91294         0.0352621
                 9           0.71436          0.890876         0.0376191
                10           0.87536          0.889324         0.0338892
                11           0.95608          0.895393          0.031347
                12            0.9894          0.903227         0.0296975
                13           0.90064          0.903028         0.0274138
                14           0.87012          0.900677         0.0255562
                15            0.9962          0.907045         0.0246331
                16             0.688          0.893355         0.0266275
                17           0.99548          0.899362         0.0257299
                18            0.6358           0.88472         0.0281603
                19            0.8632          0.883587         0.0267009
                20            0.9756          0.888188         0.0257592
                21           0.98928          0.893002         0.0249783
                22           0.91192          0.893862         0.0238577
                23           0.82592          0.890908         0.0230026
                24           0.98848          0.894973         0.0224005
                25           0.93492          0.896571         0.0215614
                26           0.98008          0.899783           0.02097
                27           0.94672          0.901521         0.0202653
                28           0.99368          0.904813          0.019807
                29           0.74648          0.899353         0.0198622
                30           0.97716          0.901947         0.0193687
                31           0.99928          0.905086         0.0189967
                32           0.99336          0.907845         0.0186023
                33           0.84324          0.905887         0.0181413
                34           0.96492          0.907624         0.0176906
                35           0.99832          0.910215         0.0173739
                36           0.79564          0.907032         0.0171804
                37           0.89268          0.906644         0.0167204
                38           0.79636          0.903742         0.0165303
                39           0.98792          0.905901         0.0162468
                40           0.99028           0.90801          0.015977
                41            0.9972          0.910185         0.0157347
                42           0.99864          0.912291         0.0155004
                43           0.99796          0.914284         0.0152674
                44           0.89744          0.913901         0.0149252
                45           0.96728          0.915087         0.0146406
                46           0.89036           0.91455         0.0143322
                47           0.96804          0.915688         0.0140724
                48           0.89976          0.915356         0.0137831
                49           0.84096          0.913838         0.0135852
                50           0.99772          0.915515         0.0134167
                51           0.97492           0.91668         0.0132041
                52           0.99544          0.918195         0.0130367
                53           0.86372          0.917167         0.0128312
                54           0.99568          0.918621         0.0126757
                55           0.99252          0.919964         0.0125162
                56           0.99756           0.92135         0.0123692
                57           0.98828          0.922524         0.0122078
                58            0.8484          0.921246          0.012064
                59           0.91224          0.921094         0.0118605
                60           0.96128          0.921763         0.0116817
                61           0.96084          0.922404         0.0115078
                62           0.97404          0.923237         0.0113523
                63           0.96604          0.923916         0.0111924
                64           0.96684          0.924587         0.0110376
                65           0.91156          0.924386         0.0108696
                66           0.97192          0.925107         0.0107287
                67           0.86664          0.924234          0.010604
                68           0.91984          0.924169         0.0104483
                69           0.52236          0.918346         0.0118087
                70           0.97184           0.91911         0.0116647
                71            0.9978          0.920219         0.0115529
                72            0.9892          0.921177         0.0114321
                73           0.96504          0.921778         0.0112913
                74           0.97652          0.922517         0.0111629
                75           0.93872          0.922733         0.0110162
                76            0.9914          0.923637         0.0109082
                77             0.997           0.92459         0.0108081
                78           0.99216          0.925456         0.0107042
                79             0.932          0.925539          0.010569
                80           0.98864          0.926327         0.0104663
                81           0.95828          0.926722         0.0103445
                82           0.97944          0.927365         0.0102383
                83           0.95416          0.927688           0.01012
                84           0.94164          0.927854         0.0100009
                85           0.94048          0.928002        0.00988437
                86           0.96352          0.928415        0.00977806
                87           0.97024          0.928896        0.00967748
                88           0.75428          0.926912        0.00976882
                89           0.43604          0.921396         0.0111074
                90           0.99608          0.922226          0.011015
                91            0.9644           0.92269         0.0109037
                92            0.9656          0.923156         0.0107951
                93            0.8166           0.92201         0.0107397
                94           0.80604          0.920777         0.0106961
                95           0.93452          0.920921         0.0105845
                96           0.91468          0.920856         0.0104744
                97           0.98904          0.921559           0.01039
                98           0.75776          0.919888         0.0104175
                99           0.99296          0.920626         0.0103384
               100           0.84828          0.919902         0.0102603
